id,label,url,brand,name,price,skin type,concern,image url
546,cleanser,https://www.myntra.com/face-wash-and-cleanser/taavi/taavi-unisex-natreal-brightening-ubtan-face-wash-210-ml/13454644/buy,taavi,unisex natreal brightening ubtan face wash 210 ml,₹ 149,all,"general care,daily use,","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/13454644/2022/7/18/940f3ab0-706a-4fee-bcbe-3b0b97521bee1658123853497-Taavi-Unisex-Natreal-Brightening-Ubtan-Face-Wash-210-ml-3981-1.jpg"
547,cleanser,https://www.myntra.com/face-wash-and-cleanser/beardo/beardo-men-set-of-de-tan--ultraglow-face-washes/14465226/buy,beardo,men set of de-tan & ultraglow face washes,₹ 456,all,"general care,excess oil,anti-pollution","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/14465226/2021/6/16/79f712b8-c7d2-4953-a9a1-a2fbc8d554611623837247508-BEARDO-Men-Face-Wash-and-Cleanser-8901623837247341-1.jpg"
548,cleanser,https://www.myntra.com/face-wash-and-cleanser/wow-skin-science/wow-skin-science-unisex-apple-cider-vinegar-foaming-face-wash-save-earth-combo-pack-350-ml/14237558/buy,wow skin science,unisex apple cider vinegar foaming face wash save earth combo pack 350 ml,₹ 798,all,"general care,,","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/14237558/2022/7/18/d775da37-a04b-40b1-92b2-09787cf691401658123897621-WOW-SKIN-SCIENCE-Unisex-Apple-Cider-Vinegar-Foaming-Face-Was-1.jpg"
549,cleanser,https://www.myntra.com/face-wash-and-cleanser/himalaya/himalaya-set-of-face-wash--moisturiser/11817058/buy,himalaya,set of face wash & moisturiser,₹ 217,oily,"excess oil,general care,deep nourishment","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/11817058/2020/4/29/4dbf804f-10bb-4fa6-b259-53bc8ecbf3c01588144419931FaceWashandCleanserGarnierMenHairCreamandMaskLOrealUnisexFac1.jpg"
550,cleanser,https://www.myntra.com/face-wash-and-cleanser/lotus-herbals/lotus-herbals-sustainable-whiteglow-cleansing-milk-80-ml/1920205/buy,lotus herbals,sustainable whiteglow cleansing milk 80 ml,₹ 191,all,"general care,,","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/1920205/2022/1/27/61fa8643-1a8d-4215-bfe9-9ed798e8f1c11643279840033LotusHerbalsSustainableWhiteGlowCleansingMilk80ml1.jpg"
551,cleanser,https://www.myntra.com/face-wash-and-cleanser/saamya/saamya-refresh-anti-bacterial-face--body-wash-200ml/15341604/buy,saamya,refresh anti bacterial face & body wash 200ml,₹ 408,all,"dryness,dryness,softening,smoothening","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/15341604/2022/3/26/f98b154a-4a75-4ce8-a7e0-9ba02b0050861648291900224SaamyaRefreshAntiBacterialFaceBodyWash200ml1.jpg"
552,cleanser,https://www.myntra.com/face-wash-and-cleanser/bioderma/bioderma-unisex-pigmentbio-foaming-cream-brightening-exfoliating-cleanser-200-ml/14993074/buy,bioderma,unisex pigmentbio foaming cream brightening exfoliating cleanser 200 ml,₹ 1590,normal,"pigmentation,,","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/14993074/2022/10/13/d8af6a5c-5ef3-4f5f-952b-6d21bd86ab001665641212862-BIODERMA-Pigmentbio-Foaming-Cream-Brightening-Exfoliating-Cl-1.jpg"
553,cleanser,https://www.myntra.com/face-wash-and-cleanser/ethiglo/ethiglo-skin-whitening-face-wash-200-ml/12795872/buy,ethiglo,skin whitening face wash 200 ml,₹ 499,all,"general care,,","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/12795872/2022/7/19/c3d6207a-214d-4d51-9cdd-05a33d473b7a1658223359018ETHIGLOSkinWhiteningFaceWash200ml1.jpg"
554,cleanser,https://www.myntra.com/face-wash-and-cleanser/biotique/biotique-set-of-cream--face-wash/13538384/buy,biotique,set of cream & face wash,₹ 285,all,"dull skin,uneven skin tone,daily use","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/13538384/2021/1/29/fe357235-243a-409f-909d-3b3d1ef41d6c1611922191342BiotiqueSetOfCreamLipBalmFaceMoisturisersBiotiqueUnisexFaceW1.jpg"
555,cleanser,https://www.myntra.com/face-wash-and-cleanser/paulas-choice/paulas-choice-white-perfectly-balanced-foaming-cleanser-190-ml/13205366/buy,paulas choice,white perfectly balanced foaming cleanser 190 ml,₹ 1512,combination,"dull skin,redness,excess oil","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/13205366/2021/8/11/8e7ec9ca-c05c-4419-b95f-3ef9bcc12d881628671363089PaulasChoicewhitePerfectlyBalancedFoamingCleanser190ml1.jpg"
